id,date_calcul,direction,moyenne_allongement
1,2026-04-13 16:03:08.396758,Nord,0.0
2,2026-04-13 16:03:08.396758,Sud,0.0
3,2026-04-13 16:05:08.504006,Nord,0.047619047619047616
4,2026-04-13 16:05:08.504006,Sud,0.0
5,2026-04-13 16:10:09.317380,Nord,0.020833333333333332
6,2026-04-13 16:10:09.317380,Sud,0.028645833333333332
7,2026-04-13 16:15:08.011204,Nord,0.02142857142857143
8,2026-04-13 16:15:08.011204,Sud,0.02
9,2026-04-13 16:20:08.195690,Nord,0.0010457516339869282
10,2026-04-13 16:20:08.195690,Sud,0.004166666666666667
11,2026-04-13 16:25:08.500827,Nord,0.02267080745341615
12,2026-04-13 16:25:08.500827,Sud,-0.014705882352941176
13,2026-04-13 16:30:07.162860,Nord,0.019950617283950617
14,2026-04-13 16:30:07.162860,Sud,0.0016898148148148148
15,2026-04-13 16:35:07.427790,Nord,0.018627450980392157
16,2026-04-13 16:35:07.427790,Sud,0.0005392156862745098
17,2026-04-13 16:40:09.473317,Nord,0.0
18,2026-04-13 16:40:09.473317,Sud,0.0
19,2026-04-13 16:45:07.386322,Nord,0.01904761904761905
20,2026-04-13 16:45:07.386322,Sud,0.1411764705882353
21,2026-04-13 16:50:08.336789,Nord,0.04722222222222222
22,2026-04-13 16:50:08.336789,Sud,0.08148148148148149
23,2026-04-13 16:55:07.827693,Nord,0.07878787878787878
24,2026-04-13 16:55:07.827693,Sud,0.08421052631578947
25,2026-04-13 17:00:11.473522,Nord,0.10689484126984126
26,2026-04-13 17:00:11.473522,Sud,0.07997835497835498
27,2026-04-13 17:05:08.394278,Nord,0.1267311507936508
28,2026-04-13 17:05:08.394278,Sud,0.138495670995671
29,2026-04-13 17:10:09.086067,Nord,0.13338111164198121
30,2026-04-13 17:10:09.086067,Sud,0.09177489177489177
31,2026-04-13 17:15:07.925131,Nord,0.10843147294760198
32,2026-04-13 17:15:07.925131,Sud,0.07164502164502165
33,2026-04-13 17:20:09.922426,Nord,0.12035205975508886
34,2026-04-13 17:20:09.922426,Sud,0.05678797828188072
35,2026-04-13 17:25:07.510403,Nord,0.12036004645760744
36,2026-04-13 17:25:07.510403,Sud,0.05149680603948897
37,2026-04-13 17:30:09.000563,Nord,0.11501673940234386
38,2026-04-13 17:30:09.000563,Sud,0.09604696528874684
39,2026-04-13 17:35:08.229803,Nord,0.13737313107061006
40,2026-04-13 17:35:08.229803,Sud,0.08016415435353742
41,2026-04-13 17:40:08.099887,Nord,0.1443730376766091
42,2026-04-13 17:40:08.099887,Sud,0.0710001971803214
43,2026-04-13 17:45:08.272353,Nord,0.14013018455820828
44,2026-04-13 17:45:08.272353,Sud,0.054367466989573475
45,2026-04-13 17:50:08.547175,Nord,0.14489666085761188
46,2026-04-13 17:50:08.547175,Sud,0.04805232284544473
47,2026-04-13 17:55:08.407924,Nord,0.1421006236526914
48,2026-04-13 17:55:08.407924,Sud,0.03583288786906948
49,2026-04-13 18:00:08.754193,Nord,0.14071826240470575
50,2026-04-13 18:00:08.754193,Sud,0.03129492925669297
51,2026-04-13 18:05:07.950309,Nord,0.1472717835709139
52,2026-04-13 18:05:07.950309,Sud,0.03510543948850979
53,2026-04-13 18:10:07.326554,Nord,0.1858998070435979
54,2026-04-13 18:10:07.326554,Sud,0.035634427218651815
55,2026-04-13 18:15:08.346955,Nord,0.17877291334312093
56,2026-04-13 18:15:08.346955,Sud,0.04608989246357154
57,2026-04-13 18:20:07.944688,Nord,0.17785714285714285
58,2026-04-13 18:20:07.944688,Sud,0.0387245670995671
59,2026-04-13 18:25:07.492263,Nord,0.15443831446816303
60,2026-04-13 18:25:07.492263,Sud,0.017943040464048866
61,2026-04-13 18:30:08.815558,Nord,0.13877014176636732
62,2026-04-13 18:30:08.815558,Sud,0.02340127964909951
63,2026-04-13 18:35:06.920958,Nord,0.11958931536690734
64,2026-04-13 18:35:06.920958,Sud,0.03458778966131907
65,2026-04-13 18:40:07.259711,Nord,0.10971121996839531
66,2026-04-13 18:40:07.259711,Sud,0.025449967865934252
67,2026-04-13 18:45:08.773699,Nord,0.11423906044376758
68,2026-04-13 18:45:08.773699,Sud,0.028210086628358274
69,2026-04-13 18:50:07.413072,Nord,0.11599301806401109
70,2026-04-13 18:50:07.413072,Sud,0.027365815427598066
71,2026-04-13 18:55:08.762812,Nord,0.12822206335961672
72,2026-04-13 18:55:08.762812,Sud,0.0648124697915121
73,2026-04-13 19:00:08.108113,Nord,0.11845468242940928
74,2026-04-13 19:00:08.108113,Sud,0.023080952157849177
75,2026-04-13 19:05:07.904699,Nord,0.11941356021530902
76,2026-04-13 19:05:07.904699,Sud,0.0327705234929879
77,2026-04-13 19:10:09.334402,Nord,0.10946630782736191
78,2026-04-13 19:10:09.334402,Sud,0.03228062930355942
79,2026-04-13 19:15:07.490968,Nord,0.12983548586483254
80,2026-04-13 19:15:07.490968,Sud,0.028519393885247542
81,2026-04-13 19:20:07.614846,Nord,0.11941906399418438
82,2026-04-13 19:20:07.614846,Sud,0.046993036927535765
83,2026-04-13 19:25:08.997640,Nord,0.11221613504282263
84,2026-04-13 19:25:08.997640,Sud,0.00533381244647665
85,2026-04-13 19:30:07.195827,Nord,0.09646698987287222
86,2026-04-13 19:30:07.195827,Sud,-0.00349017121641556
87,2026-04-13 19:35:08.174328,Nord,0.1055868798636098
88,2026-04-13 19:35:08.174328,Sud,0.007611524949263687
89,2026-04-13 19:40:07.633496,Nord,0.09510423120179444
90,2026-04-13 19:40:07.633496,Sud,0.033402188246877414
91,2026-04-13 19:45:07.323516,Nord,0.0898944260098492
92,2026-04-13 19:45:07.323516,Sud,-0.02058045313287721
93,2026-04-13 19:50:10.676639,Nord,0.08527415367495897
94,2026-04-13 19:50:10.676639,Sud,0.011249620863444958
95,2026-04-13 19:55:08.073836,Nord,0.0699204978293931
96,2026-04-13 19:55:08.073836,Sud,0.010799063814811237
97,2026-04-13 20:00:08.094409,Nord,0.08207730337251445
98,2026-04-13 20:00:08.094409,Sud,-0.0022208649545561367
99,2026-04-13 20:05:07.439863,Nord,0.08821744227994228
100,2026-04-13 20:05:07.439863,Sud,-0.0014656707264680687
101,2026-04-13 20:10:07.656720,Nord,0.10027049566550654
102,2026-04-13 20:10:07.656720,Sud,-0.002681737210855492
103,2026-04-13 20:15:08.726214,Nord,0.13820093132578806
104,2026-04-13 20:15:08.726214,Sud,0.0028762147423431273
105,2026-04-13 20:20:08.563050,Nord,0.13233414912055233
106,2026-04-13 20:20:08.563050,Sud,-0.01759609937739791
107,2026-04-13 20:25:07.652880,Nord,0.14454331693694908
108,2026-04-13 20:25:07.652880,Sud,-0.016668971194142818
109,2026-04-13 20:30:07.242643,Nord,0.12051170755474035
110,2026-04-13 20:30:07.242643,Sud,-0.012645624323125736
111,2026-04-13 20:35:08.719093,Nord,0.11188532484284407
112,2026-04-13 20:35:08.719093,Sud,0.000590716552977482
113,2026-04-13 20:40:08.227974,Nord,0.09093191615463843
114,2026-04-13 20:40:08.227974,Sud,0.0033880534352874895
115,2026-04-13 20:45:09.436448,Nord,0.07628185328542086
116,2026-04-13 20:45:09.436448,Sud,0.0004433651261024298
117,2026-04-13 20:50:08.294030,Nord,0.06544306542743844
118,2026-04-13 20:50:08.294030,Sud,-0.015205308458190485
119,2026-04-13 20:55:07.524025,Nord,0.03946244264446226
120,2026-04-13 20:55:07.524025,Sud,-0.02779646266201499
121,2026-04-13 21:00:07.951711,Nord,0.03933743725410392
122,2026-04-13 21:00:07.951711,Sud,-0.016196600504000885
123,2026-04-13 21:05:07.267782,Nord,0.027527687998276235
124,2026-04-13 21:05:07.267782,Sud,-0.013621933621933622
125,2026-04-13 21:10:08.403679,Nord,0.009744294291887043
126,2026-04-13 21:10:08.403679,Sud,-0.0004686313477082884
127,2026-04-13 21:15:09.236089,Nord,-0.016803814339025606
128,2026-04-13 21:15:09.236089,Sud,-0.008502823548912138
129,2026-04-13 21:20:07.223695,Nord,-0.008762626262626262
130,2026-04-13 21:20:07.223695,Sud,-0.018458049886621315
131,2026-04-13 21:25:08.238448,Nord,-0.0016832768118415617
132,2026-04-13 21:25:08.238448,Sud,-0.005150890045626888
133,2026-04-13 21:30:08.978639,Nord,-0.01192100952702868
134,2026-04-13 21:30:08.978639,Sud,-0.020530446076894165
135,2026-04-13 21:35:09.551947,Nord,-0.009063852813852814
136,2026-04-13 21:35:09.551947,Sud,-0.01561408949399535
137,2026-04-13 21:40:08.600485,Nord,-0.006877875131099788
138,2026-04-13 21:40:08.600485,Sud,-0.006412910131177411
139,2026-04-13 21:45:08.327918,Nord,0.0012924620767758024
140,2026-04-13 21:45:08.327918,Sud,-0.0180258338153075
141,2026-04-13 21:50:09.145240,Nord,-0.007164246160725034
142,2026-04-13 21:50:09.145240,Sud,-0.016917981308108513
143,2026-04-13 21:55:07.297277,Nord,-0.007863247863247864
144,2026-04-13 21:55:07.297277,Sud,-0.010057786436523978
145,2026-04-13 22:00:07.973400,Nord,0.011180555555555556
146,2026-04-13 22:00:07.973400,Sud,-0.014127750609158047
147,2026-04-13 22:05:07.658221,Nord,0.024793388429752067
148,2026-04-13 22:05:07.658221,Sud,-0.01005464514781285
149,2026-04-13 22:10:06.885031,Nord,0.022222222222222223
150,2026-04-13 22:10:06.885031,Sud,-0.006188505705312428
151,2026-04-13 22:15:07.699538,Nord,0.029536019536019534
152,2026-04-13 22:15:07.699538,Sud,-0.0263715587244999
153,2026-04-13 22:20:08.670163,Nord,0.05436692936692937
154,2026-04-13 22:20:08.670163,Sud,-0.015357899460463563
155,2026-04-13 22:25:07.474876,Nord,0.0409567135373587
156,2026-04-13 22:25:07.474876,Sud,-0.0180421023764677
157,2026-04-13 22:30:08.957036,Nord,0.017307175395410688
158,2026-04-13 22:30:08.957036,Sud,0.002743845712369558
